# Characters to never propose in pick_words.txt
# One character per line. Lines starting with # are ignored.
# Example:
# 的
# 了
# 是

的
了
不 | Bù | No
画 | Huà | painting
病 | Bìng | sick
的 | De | of
盒 | Hé | box
盘 | Pán | plate
眉 | Méi | eyebrow
眼 | Yǎn | Eye
睛 | Jīng | eye
睡 | Shuì | sleep
祝 | Zhù | wish
童 | Tóng | child
端 | Duān | end
竹 | Zhú | bamboo
笑 | Xiào | laugh
筝 | Zhēng | Zheng
简 | Jiǎn | simple
管 | Guǎn | Tube
粉 | Fěn | pink
糕 | Gāo | cake
紫 | Zǐ | purple
线 | Xiàn | Wire
耳 | Ěr | Ear
聊 | Liáo | chat
联 | Lián | link
聪 | Cōng | Cong
股 | Gǔ | share
胡 | Hú | Hu
脑 | Nǎo | brain
至 | Zhì | to
舞 | Wǔ | dance
芒 | Máng | Mang
英 | Yīng | Britain
苹 | Píng | apple
茄 | Jiā | eggplant
茶 | Chá | Tea
莓 | Méi | raspberry
莲 | Lián | lotus
菠 | Bō | spinach
萄 | Táo | Grapes
萝 | Luó | radish
萨 | Sà | sa
葡 | Pú | Portuguese
葱 | Cōng | onion
蕉 | Jiāo | banana
虎 | Hǔ | Tiger
蜓 | Tíng | dragonfly
蜗 | Wō | snail
蜻 | Qīng | dragonfly
蝙 | Biān | bat
蝠 | Fú | bat
蝴 | Hú | butterfly
蝶 | Dié | butterfly
衣 | Yī | Clothes
袋 | Dài | bag
裙 | Qún | skirt
裤 | Kù | pants
觉 | Jué | Sleep
語 | Yǔ | language
认 | Rèn | recognize
讨 | Tǎo | discuss
议 | Yì | discuss
论 | Lùn | Argument
识 | Shí | knowledge
诞 | Dàn | birth
该 | Gāi | Should
谢 | Xiè | Thanks
豆 | Dòu | bean
象 | Xiàng | elephant
豹 | Bào | Leopard
贺 | Hè | Congratulations
赢 | Yíng | win
走 | Zǒu | Walk
足 | Zú | foot
辈 | Bèi | generation
辣 | Là | hot
迪 | Dí | Dee
迷 | Mí | fan
通 | Tōng | Pass
#速 | Sù | speed
邮 | Yóu | mail
铃 | Líng | bell
镯 | Zhuó | bracelet
#门 | Mén | Door
#闲 | Xián | idle
雨 | Yǔ | rain
雪 | Xuě | Snow
鞋 | Xié | shoe
韩 | Hán | Korea
颜 | Yán | Yan
飞 | Fēi | fly
饺 | Jiǎo | dumpling
鲨 | Shā | shark
鳄 | È | crocodile
鸭 | Yā | duck
鸵 | Tuó | ostrich
齿 | Chǐ | tooth
龟 | Guī | turtle
